通番,問題,答え,難易度
1,6×(?)-7+3÷1=26,5,1
2,7×9+(?)÷7×9=73,7,1
3,6÷(?)-9+1×7=18,3,1
4,7÷7-(?)+3×3=1,9,1
5,9÷3×6-(?)÷3=15,9,1
6,7+9÷(?)×6-6=19,3,1
7,6-(?)×2-1×7=-19,9,1
8,9+(?)÷1+3×4=28,7,1
9,1+4×2÷(?)+9=11,8,1
10,7-(?)×8÷2+3=-6,4,1
11,1×3+(?)÷1+9=19,7,1
12,2×9-(?)÷1×7=-45,9,1
13,4×(?)÷2+8×5=46,3,1
14,7+3×(?)-8×2=9,6,1
15,3-9×1+(?)×8=58,8,1
16,(?)+8÷4×6+5=24,7,1
17,6+(?)÷6×8+3=17,6,1
18,1-3×2+(?)×7=58,9,1
19,8×4+(?)-9-7=21,5,1
20,7×(?)×2÷7+6=12,3,1
21,5-(?)×3+8×9=50,9,1
22,4×7÷(?)-9+8=3,7,1
23,9-(?)×7+9×8=32,7,1
24,1×3+7-(?)-8=-4,6,1
25,2×3+6-(?)×2=-4,8,1
26,1×7+7×(?)+8=10,2,1
27,4×2÷(?)+9÷1=11,4,1
28,5×6÷3×2+(?)=24,7,1
29,4×7-6×(?)×2=-68,8,1
30,7+(?)×8-9×5=18,7,1
31,1×3×5-(?)×4=-13,7,1
32,8+3÷3×(?)+9=23,6,1
33,1×7÷7×(?)+8=11,6,1
34,4×3-(?)+7-8=2,9,1
35,2×4×(?)÷3-9=7,6,1
36,7-3+(?)×4×3-9=100,8,1
37,2÷6×9-(?)×8=-53,7,1
38,3×3×(?)-9+8=71,8,1
39,4+5×(?)×7-9=100,3,1
40,1+9×4-(?)÷2=35,4,1
41,7+6÷3×(?)×7=133,9,1
42,6+9×(?)÷3+9=24,3,1
43,7×8÷4×(?)+7=105,7,1
44,9×3×(?)+9-9=216,8,1
45,1×(?)×7×8-9=496,9,1
46,(?)÷4×8+9×7=67,2,1
47,7+(?)+9÷3×7=33,5,1
48,8+9×(?)-8×7=15,7,1
49,9×3+8×(?)-8=91,9,1
50,8+7×3-(?)×9=-25,6,1
51,2×4×5+8×(?)=96,7,1
52,6×2+5×8×(?)=372,9,1
53,7×(?)+8×9×7=567,9,1
54,3×(?)+1+1×9=25,5,1
55,2+4×(?)+2×8=46,7,1
56,(?)×7×8×3+5=173,1,1
57,4×1×5÷5÷(?)=2,2,1
58,2×7×(?)÷1+9=107,7,1
59,5×(?)×6-9×9=159,8,1
60,4×8÷2-(?)+3=10,9,1
61,(?)×2÷7÷1+9=11,7,1
62,9×8÷3+(?)×9=87,7,1
63,8×3+(?)×5×9=273,5,1
64,7×(?)×6+9-1=92,2,1
65,8÷8×(?)×7-3=60,9,1
66,9×3×(?)-9×9=108,7,1
67,2+8+(?)×6×9=442,8,1
68,8×1×7×(?)×9=457,6,1
69,5×(?)×3-9×6=-9,3,1
70,8×7+(?)×6×3=164,6,1
71,9×1+8×(?)×5=289,7,1
72,2×5×(?)×5×4=200,2,1
73,9-8×7+9×(?)=-20,3,1
74,2×(?)×7-8×8=48,8,1
75,9×8×1÷(?)×7=126,4,1
76,9+(?)+9÷1×7=72,1,1
77,(?)×8×2×7-9=551,5,1
78,8×3-8×(?)×5=-256,7,1
79,3×(?)+8×2÷4=10,2,1
80,7+3-(?)×1×2=-8,9,1
90,7+6×5×(?)÷3=47,4,1
91,7+8×(?)÷1÷3=31,9,1
92,2×(?)+7×7×3=155,4,1
93,8+9-1×(?)×7=-4,3,1
94,8×7-(?)-5×4=30,6,1
95,9×(?)×2×3×4=216,1,1
96,6×7+8×(?)×2=58,1,1
97,5×(?)×8×1×3=600,5,1
98,4÷2×(?)×7×6=672,8,1
99,7-9×8×(?)+9=-200,3,1
100,8×3×2-(?)×9=-33,9,1
101,7×6×(?)-7×3=63,2,1
102,9+(?)×3-9×1=24,9,1
103,8+9×3×(?)-9=53,2,1
104,(?)×5-6×3+5=22,7,1
105,8×5×(?)-7×3=299,8,1
106,3×6÷(?)÷3×5=5,6,1
107,1×1+(?)×9-9=55,7,1
108,2×4×(?)÷3+7=31,9,1
109,8÷2÷4×(?)×7=49,7,1
110,9×3-8×(?)÷1=-5,4,1
